Recipe,Question,label
"Melt chocolate in coffee in a metal bowl set over a large saucepan of barely simmering water, stirring until smooth, then stir in 3 tablespoons rum. Remove bowl from heat.
Beat together eggs, granulated sugar, and a pinch of salt with a handheld electric mixer in a large metal bowl until combined well. Set bowl over saucepan of simmering water and beat mixture until tripled in volume, very thick, and registers 160Â°F on thermometer, about 6 minutes. Remove bowl from heat, then beat in chocolate mixture. Chill until cool, about 10 minutes.
Beat 1 cup cream in a bowl with cleaned beaters until it just holds stiff peaks, then fold into chocolate mixture. Divide among 8 (8-ounce) stemmed glasses and freeze, covered with plastic wrap, until set, at least 3 hours.
Before serving, let parfaits stand at room temperature 15 minutes to soften slightly. While parfaits are standing, beat remaining cup cream with confectioners sugar until it just holds stiff peaks, then beat in remaining 2 teaspoons rum and spoon onto parfaits.",Is the chocolate mixture coverd with plastic and freezen for 3 hours?,1
"Melt chocolate in coffee in a metal bowl set over a large saucepan of barely simmering water, stirring until smooth, then stir in 3 tablespoons rum. Remove bowl from heat.
Beat together eggs, granulated sugar, and a pinch of salt with a handheld electric mixer in a large metal bowl until combined well. Set bowl over saucepan of simmering water and beat mixture until tripled in volume, very thick, and registers 160Â°F on thermometer, about 6 minutes. Remove bowl from heat, then beat in chocolate mixture. Chill until cool, about 10 minutes.
Beat 1 cup cream in a bowl with cleaned beaters until it just holds stiff peaks, then fold into chocolate mixture. Divide among 8 (8-ounce) stemmed glasses and freeze, covered with plastic wrap, until set, at least 3 hours.
Before serving, let parfaits stand at room temperature 15 minutes to soften slightly. While parfaits are standing, beat remaining cup cream with confectioners sugar until it just holds stiff peaks, then beat in remaining 2 teaspoons rum and spoon onto parfaits.",Is this dish served hot?,0
"Preheat broiler and lightly oil rack of a broiler pan.
Stack tortillas and wrap in foil. Stir together hoisin, soy, honey, ginger, vinegar, garlic, and cayenne in a 1- to 1 1/2-quart saucepan.
Toss chicken with 3 tablespoons sauce in a large bowl to coat, then broil 2 to 3 inches from heat, without turning, rotating pan halfway through broiling, until cooked through and deep golden, about 10 minutes. Transfer to a cutting board and let stand, uncovered, 5 minutes.
While chicken is broiling, put tortillas on bottom rack of oven to warm.
Boil sauce until slightly thickened, about 2 minutes, then add plum and simmer, stirring, 2 minutes.
Cut chicken crosswise into 1/4-inch-thick slices.
To eat, wrap up chicken, plum sauce, and scallions in tortillas.",Is the sauce boiled until thickened?,1
"Preheat broiler and lightly oil rack of a broiler pan.
Stack tortillas and wrap in foil. Stir together hoisin, soy, honey, ginger, vinegar, garlic, and cayenne in a 1- to 1 1/2-quart saucepan.
Toss chicken with 3 tablespoons sauce in a large bowl to coat, then broil 2 to 3 inches from heat, without turning, rotating pan halfway through broiling, until cooked through and deep golden, about 10 minutes. Transfer to a cutting board and let stand, uncovered, 5 minutes.
While chicken is broiling, put tortillas on bottom rack of oven to warm.
Boil sauce until slightly thickened, about 2 minutes, then add plum and simmer, stirring, 2 minutes.
Cut chicken crosswise into 1/4-inch-thick slices.
To eat, wrap up chicken, plum sauce, and scallions in tortillas.",Is the chicken let to stand covered?,0
"Soak cod in a large bowl with cold water to cover by 2 inches, chilled, changing water 3 times a day, 1 to 3 days (see cooks' note, below).
Drain cod and transfer to a 3- to 4-quart pot with fresh water to cover by 2 inches. Bring just to a simmer and remove from heat. (Cod should just flake; do not boil, or it will become tough.) Drain in a colander.
Cook onion in 1/2 tablespoon butter in a 10-inch heavy skillet over moderate heat, stirring occasionally, until pale golden, about 7 minutes. Transfer to a large bowl.
Peel potatoes and parsnip. Halve parsnip lengthwise and remove core if tough. Cut potatoes and parsnip into 1-inch pieces and steam together in a steamer over boiling water in a large pot, covered, until tender, 18 to 20 minutes. 3Add to cooked onions and coarsely mash, then cool slightly. Flake cod and stir into potato mixture along with salt to taste and pepper. Stir in egg until just combined.
Put bread crumbs in a shallow baking dish.
Form rounded 1/4-cup scoops of cod mixture into 12 (3-inch-diameter) cakes and transfer to a sheet of wax paper. Gently dredge fish cakes in bread crumbs to coat and transfer to a wax-paper-lined tray. Chill, covered with plastic wrap, at least 30 minutes.
Preheat oven to 200°F.
Heat 1 tablespoon butter and 1 tablespoon oil in 10-inch heavy skillet over moderate heat until foam subsides. Cook 4 fish cakes, turning over once, until golden brown, 7 to 8 minutes total.
Transfer to a paper-towel-lined baking sheet and keep warm in middle of oven. Wipe skillet clean and cook remaining fish cakes in 2 batches, adding 1 tablespoon each of butter and oil per additional batch.",are bread crumbs put in a shallow baking dish,1
"Soak cod in a large bowl with cold water to cover by 2 inches, chilled, changing water 3 times a day, 1 to 3 days (see cooks' note, below).
Drain cod and transfer to a 3- to 4-quart pot with fresh water to cover by 2 inches. Bring just to a simmer and remove from heat. (Cod should just flake; do not boil, or it will become tough.) Drain in a colander.
Cook onion in 1/2 tablespoon butter in a 10-inch heavy skillet over moderate heat, stirring occasionally, until pale golden, about 7 minutes. Transfer to a large bowl.
Peel potatoes and parsnip. Halve parsnip lengthwise and remove core if tough. Cut potatoes and parsnip into 1-inch pieces and steam together in a steamer over boiling water in a large pot, covered, until tender, 18 to 20 minutes. 3Add to cooked onions and coarsely mash, then cool slightly. Flake cod and stir into potato mixture along with salt to taste and pepper. Stir in egg until just combined.
Put bread crumbs in a shallow baking dish.
Form rounded 1/4-cup scoops of cod mixture into 12 (3-inch-diameter) cakes and transfer to a sheet of wax paper. Gently dredge fish cakes in bread crumbs to coat and transfer to a wax-paper-lined tray. Chill, covered with plastic wrap, at least 30 minutes.
Preheat oven to 200°F.
Heat 1 tablespoon butter and 1 tablespoon oil in 10-inch heavy skillet over moderate heat until foam subsides. Cook 4 fish cakes, turning over once, until golden brown, 7 to 8 minutes total.
Transfer to a paper-towel-lined baking sheet and keep warm in middle of oven. Wipe skillet clean and cook remaining fish cakes in 2 batches, adding 1 tablespoon each of butter and oil per additional batch.",is a blender is needed in this recipe,0
"Blanch scallions in a pot ofboiling salted water 45 seconds, then transfer with a slotted spoon to a bowl of ice and cold water to stop cooking. Transfer scallions to paper towels to drain and pat dry.
Cut flank steak with the grain holding a large knife at a 30-degree angle to cutting board into 12 (1/8-inch-thick) slices (1 1/2 to 2 inches wide). Arrange slices 1 inch apart on a very lightly oiled sheet of parchment paper or plastic wrap, then cover with another very lightly oiled sheet of parchment or plastic wrap (oiled side down) and pound slices with flat side of meat pounder until about 1/16 inch thick.
Arrange 3 beef slices side by side on a fresh sheet of plastic wrap, overlapping slices slightly to form a 6-inch square with short ends of slices nearest you. Sprinkle square lightly with a pinch of salt, then lay 3 scallions (with some white parts at both ends) across slices at end closest to you and tightly roll up meat around scallions to form a log, using plastic wrap as an aid. Tie log with kitchen string at ends and where meat slices overlap. Make 3 more negimaki rolls in same manner.
Stir together sake, mirin, soy sauce, and sugar in a small bowl until sugar is dissolved.
Put rolls in a small baking dish and pour marinade over them, turning to coat. Marinate, loosely covered with plastic wrap, turning occasionally, 15 minutes.
Heat a 10-inch heavy skillet over moderately high heat until hot, 1 to 2 minutes. While skillet is heating, lift rolls out of marinade, letting excess drip off, and pat dry. (Save marinade.) Add oil to skillet, swirling to coat bottom, then cook rolls, turning with tongs, until well browned on all sides, 4 to 5 minutes total for medium-rare. Transfer rolls to cutting board. Add marinade to skillet and boil until slightly syrupy, 1 to 2 minutes, then remove from heat.
Cut off and discard strings, then cut each roll crosswise into 6 slices. Pour sauce into a shallow serving dish and arrange negimaki in sauce.
*Available at Asian markets, some supermarkets, and Uwajimaya (800-889-1928)",is a slotted spoon used,1
"Blanch scallions in a pot ofboiling salted water 45 seconds, then transfer with a slotted spoon to a bowl of ice and cold water to stop cooking. Transfer scallions to paper towels to drain and pat dry.
Cut flank steak with the grain holding a large knife at a 30-degree angle to cutting board into 12 (1/8-inch-thick) slices (1 1/2 to 2 inches wide). Arrange slices 1 inch apart on a very lightly oiled sheet of parchment paper or plastic wrap, then cover with another very lightly oiled sheet of parchment or plastic wrap (oiled side down) and pound slices with flat side of meat pounder until about 1/16 inch thick.
Arrange 3 beef slices side by side on a fresh sheet of plastic wrap, overlapping slices slightly to form a 6-inch square with short ends of slices nearest you. Sprinkle square lightly with a pinch of salt, then lay 3 scallions (with some white parts at both ends) across slices at end closest to you and tightly roll up meat around scallions to form a log, using plastic wrap as an aid. Tie log with kitchen string at ends and where meat slices overlap. Make 3 more negimaki rolls in same manner.
Stir together sake, mirin, soy sauce, and sugar in a small bowl until sugar is dissolved.
Put rolls in a small baking dish and pour marinade over them, turning to coat. Marinate, loosely covered with plastic wrap, turning occasionally, 15 minutes.
Heat a 10-inch heavy skillet over moderately high heat until hot, 1 to 2 minutes. While skillet is heating, lift rolls out of marinade, letting excess drip off, and pat dry. (Save marinade.) Add oil to skillet, swirling to coat bottom, then cook rolls, turning with tongs, until well browned on all sides, 4 to 5 minutes total for medium-rare. Transfer rolls to cutting board. Add marinade to skillet and boil until slightly syrupy, 1 to 2 minutes, then remove from heat.
Cut off and discard strings, then cut each roll crosswise into 6 slices. Pour sauce into a shallow serving dish and arrange negimaki in sauce.
*Available at Asian markets, some supermarkets, and Uwajimaya (800-889-1928)",is each roll crosswise cut into 9 slices,0
"In a bowl whisk beer and salt into flour until smooth. Drain sardines and pat dry. Cut lime into 8 wedges.
In a 3-quart saucepan heat oil over moderately high heat until a deep-fat thermometer registers 375°F. Working in batches of about 8 and holding sardines at head end to avoid breaking, dredge fish in batter to coat completely, dragging lightly against side of bowl to remove excess, and fry, stirring, until golden, 2 to 3 minutes. With a slotted spoon transfer sardines as fried to paper towels to drain. Fry lime wedges in oil until they begin to turn golden, about 30 seconds, and transfer to paper towels to drain. Serve sardines with lime.",does beer need to be whisked with flour,1
"In a bowl whisk beer and salt into flour until smooth. Drain sardines and pat dry. Cut lime into 8 wedges.
In a 3-quart saucepan heat oil over moderately high heat until a deep-fat thermometer registers 375°F. Working in batches of about 8 and holding sardines at head end to avoid breaking, dredge fish in batter to coat completely, dragging lightly against side of bowl to remove excess, and fry, stirring, until golden, 2 to 3 minutes. With a slotted spoon transfer sardines as fried to paper towels to drain. Fry lime wedges in oil until they begin to turn golden, about 30 seconds, and transfer to paper towels to drain. Serve sardines with lime.",should the deep-fat thermometer registers 450°F,0
"Sift flour and salt into bowl. Add egg, then gradually whisk in 1 1/2 cups water (batter will be thin). Pour batter through strainer set over measuring cup.
Heat 12-inch nonstick skillet over medium-high heat. Add 1 teaspoon oil to skillet; brush over skillet. Pour in 1/3 cup batter, immediately tilting skillet to allow batter to spread over bottom (if batter does not spread easily, thin with more water by teaspoonfuls). Cook until pancake is light golden on bottom, about 2 minutes. Turn pancake over and cook until bottom is light golden, about 1 minute. Transfer to paper towels. Repeat with remaining batter, adding 1 teaspoon oil to skillet for each pancake and stacking pancakes between paper towels. (Can be made 1 day ahead. Wrap layered with paper towels in foil and refrigerate. Heat foil packet in 300°F oven for about 15 minutes.)
Sprinkle 2 tablespoons cheese over each pancake. Top each with 4 half-slices prosciutto. Sprinkle with pepper. Fold pancakes in half and then in half again, forming triangles. Transfer to plates.",are 2 tablespoons cheese are sprincked over each pancake,1
"Sift flour and salt into bowl. Add egg, then gradually whisk in 1 1/2 cups water (batter will be thin). Pour batter through strainer set over measuring cup.
Heat 12-inch nonstick skillet over medium-high heat. Add 1 teaspoon oil to skillet; brush over skillet. Pour in 1/3 cup batter, immediately tilting skillet to allow batter to spread over bottom (if batter does not spread easily, thin with more water by teaspoonfuls). Cook until pancake is light golden on bottom, about 2 minutes. Turn pancake over and cook until bottom is light golden, about 1 minute. Transfer to paper towels. Repeat with remaining batter, adding 1 teaspoon oil to skillet for each pancake and stacking pancakes between paper towels. (Can be made 1 day ahead. Wrap layered with paper towels in foil and refrigerate. Heat foil packet in 300°F oven for about 15 minutes.)
Sprinkle 2 tablespoons cheese over each pancake. Top each with 4 half-slices prosciutto. Sprinkle with pepper. Fold pancakes in half and then in half again, forming triangles. Transfer to plates.",is 3 teaspoon of oil added to the skillet,0
"Stir together tequila, lime juice, and sugar until sugar is dissolved.
Peel pineapple with a large sharp knife, keeping crown of leaves attached. Trim bottom.
Remove eyes from pineapple in spiral channels with a sharp paring knife: Cut along each side of diagonal row of eyes that spirals down pineapple, forming a V-shaped channel. Cut out channel and eyes and repeat procedure with remaining rows of eyes.
Preheat oven to 425°F.
Lay pineapple on its side, then, beginning at base and moving upward, carefully cut pineapple lengthwise in half through leaves, keeping leaves attached. Cut out core from each half and pull out some of long innermost leaves so no leaves are longer than about 7 inches.
Arrange pineapple halves, flat sides down, in a glass or ceramic 13- by 9-inch baking dish, then pierce all over and all the way through with a skewer.
Stir tequila mixture and spoon over pineapple. Lay a sheet of wax paper over pineapple and bake in middle of oven, basting with juices every 10 minutes, until pineapple is tender and slightly caramelized, about 50 minutes. Halve pineapple halves lengthwise and serve with any juices remaining in baking dish.",is core cut out from each half?,1
"Stir together tequila, lime juice, and sugar until sugar is dissolved.
Peel pineapple with a large sharp knife, keeping crown of leaves attached. Trim bottom.
Remove eyes from pineapple in spiral channels with a sharp paring knife: Cut along each side of diagonal row of eyes that spirals down pineapple, forming a V-shaped channel. Cut out channel and eyes and repeat procedure with remaining rows of eyes.
Preheat oven to 425°F.
Lay pineapple on its side, then, beginning at base and moving upward, carefully cut pineapple lengthwise in half through leaves, keeping leaves attached. Cut out core from each half and pull out some of long innermost leaves so no leaves are longer than about 7 inches.
Arrange pineapple halves, flat sides down, in a glass or ceramic 13- by 9-inch baking dish, then pierce all over and all the way through with a skewer.
Stir tequila mixture and spoon over pineapple. Lay a sheet of wax paper over pineapple and bake in middle of oven, basting with juices every 10 minutes, until pineapple is tender and slightly caramelized, about 50 minutes. Halve pineapple halves lengthwise and serve with any juices remaining in baking dish.",is the pineapple cut in dices,0
"Heat 2 tablespoons oil in an ovenproof 6-quart wide heavy pot over moderately high heat until hot but not smoking. While oil is heating, pat beef cheeks dry and season with salt and pepper. Brown beef, without crowding, on all sides, about 20 minutes total, and transfer with tongs to a bowl. Pour off fat from pot, then add remaining 2 tablespoons oil and cook onion, carrot, and celery over moderately low heat, stirring occasionally, until softened, about 10 minutes.
Preheat oven to 325°F.
Stir cocoa powder into vegetable mixture, then add wine and scrape up any brown bits. Increase heat to high and boil until liquid is reduced by half, about 10 minutes.
Return cheeks (with any juices) to pot and add tomatoes with juice, salt, and pepper. Bring to a simmer, then braise, covered, in middle of oven until very tender, about 3 hours.",is the oven preheated to 325°F,1
"Heat 2 tablespoons oil in an ovenproof 6-quart wide heavy pot over moderately high heat until hot but not smoking. While oil is heating, pat beef cheeks dry and season with salt and pepper. Brown beef, without crowding, on all sides, about 20 minutes total, and transfer with tongs to a bowl. Pour off fat from pot, then add remaining 2 tablespoons oil and cook onion, carrot, and celery over moderately low heat, stirring occasionally, until softened, about 10 minutes.
Preheat oven to 325°F.
Stir cocoa powder into vegetable mixture, then add wine and scrape up any brown bits. Increase heat to high and boil until liquid is reduced by half, about 10 minutes.
Return cheeks (with any juices) to pot and add tomatoes with juice, salt, and pepper. Bring to a simmer, then braise, covered, in middle of oven until very tender, about 3 hours.",cheeks are returned without any juices,0
"Toast peppercorns in a dry small skillet over moderately high heat, swirling skillet, until fragrant and peppercorns begin to jump, 2 to 3 minutes. Coarsely crush peppercorns with a mortar and pestle or wrap in a kitchen towel and press on peppercorns with bottom of a heavy skillet.
Cook spaghetti in a 6- to 8-quart pot of boiling salted water until al dente.
Fill a large glass or ceramic bowl with some hot water to warm bowl. Just before spaghetti is finished cooking, drain bowl but do not dry.
Reserve 1/2 cup pasta cooking water, then drain pasta quickly in a colander (do not shake off excess water) and add to warm pasta bowl. Sprinkle 3/4 cup cheese and 3 tablespoons cooking water evenly over spaghetti and toss quickly. If pasta seems dry, toss with some additional cooking water.
Divide pasta among 4 plates, then sprinkle with pepper and 2 tablespoons cheese (total). Serve immediately with additional cheese on the side.",is peppercorns toasted in a dry small skillet,1
"Toast peppercorns in a dry small skillet over moderately high heat, swirling skillet, until fragrant and peppercorns begin to jump, 2 to 3 minutes. Coarsely crush peppercorns with a mortar and pestle or wrap in a kitchen towel and press on peppercorns with bottom of a heavy skillet.
Cook spaghetti in a 6- to 8-quart pot of boiling salted water until al dente.
Fill a large glass or ceramic bowl with some hot water to warm bowl. Just before spaghetti is finished cooking, drain bowl but do not dry.
Reserve 1/2 cup pasta cooking water, then drain pasta quickly in a colander (do not shake off excess water) and add to warm pasta bowl. Sprinkle 3/4 cup cheese and 3 tablespoons cooking water evenly over spaghetti and toss quickly. If pasta seems dry, toss with some additional cooking water.
Divide pasta among 4 plates, then sprinkle with pepper and 2 tablespoons cheese (total). Serve immediately with additional cheese on the side.",is the pasta divided among 2 plates,0
"Sprinkle chicken on all sides with paprika, salt, and pepper. Heat oil in heavy large skillet over medium-high heat. Add chicken and sauté until brown, about 3 minutes per side. Transfer chicken to plate. Add vegetables and stir 2 minutes. Sprinkle vegetables with flour and stir to coat. Gradually stir in broth and wine; bring to boil, stirring frequently. Return chicken and any juices to skillet; bring to boil. Reduce heat to medium-low. Cover and simmer until chicken is cooked through, about 30 minutes. Season with salt and pepper. Sprinkle with parsley.",should broth and wine be stirred frequently,1
"Sprinkle chicken on all sides with paprika, salt, and pepper. Heat oil in heavy large skillet over medium-high heat. Add chicken and sauté until brown, about 3 minutes per side. Transfer chicken to plate. Add vegetables and stir 2 minutes. Sprinkle vegetables with flour and stir to coat. Gradually stir in broth and wine; bring to boil, stirring frequently. Return chicken and any juices to skillet; bring to boil. Reduce heat to medium-low. Cover and simmer until chicken is cooked through, about 30 minutes. Season with salt and pepper. Sprinkle with parsley.","are garlic powder, cinnamon, and oregano sprinkled on all sides of a chicken",0
"Combine mayonnaise, basil, and lemon juice in processor. Blend until smooth (some basil bits will remain). Season mayonnaise with salt and pepper. Transfer to small bowl, cover, and refrigerate. (Can be made 2 days ahead. Keep refrigerated.)
Rinse 2 mini muffin pans (12 cups per pan) with cold water; shake off excess water. Mix tomatoes, garlic, and oil in medium bowl; sprinkle with salt and pepper. Let stand 15 minutes. Arrange 4 tomato quarters in bottom of each prepared muffin cup.
Bring 2 1/2 cups water and salt to boil in heavy large saucepan over medium-high heat. Gradually whisk in polenta. Reduce heat to medium and cook until polenta thickens, whisking almost constantly, about 10 minutes. Reduce heat to low and continue to cook until polenta is tender, whisking often, about 15 minutes longer. Whisk in cheese and butter. Season polenta to taste with pepper.
Spoon enough polenta into muffin cups to cover tomatoes and fill cups. Using wet fingertips, press polenta firmly to compact. Cover pans with waxed paper; let stand until polenta is firmly set, at least 30 minutes and up to 2 hours.
Cut around each tartlet to loosen. Turn over muffin pans, releasing tartlets. Arrange, tomato side up, on platter. Top each with dollop of basil mayonnaise. Serve, passing remaining mayonnaise.
*Sold at Italian markets, natural foods stores, and some supermarkets. If unavailable, substitute an equal amount of regular yellow cornmeal, and cook mixture for about half the time.","are tomatoes, garlic, and oil mixed in medium bowl",1
