Recipe,Question,label
"In a small saucepan or skillet, combine the tomatoes, soy sauce, olive oil, and many grinds of black pepper. Place over low heat and cook for 5 to 7 minutes, just until the tomatoes start to soften and juices collect in the pan.
Carefully cut the tofu into 2 wide slabs (or 4 smaller ones) and place on plates or in shallow bowls. Divide the warm tomatoes on top. Add a judicious drizzle of toasted sesame oil, then sprinkle with scallions and basil, if using. Serve immediately.",Is there a sauce in kale salad?,1
"Set a steamer basket in a large pot filled with 1"" water, cover pot, and bring water to a boil. Add broccoli to steamer basket, cover pot, and steam broccoli until crisp-tender, about 5 minutes.
Meanwhile, whisk soy paste and 2 Tbsp. water in a large bowl.
Arrange broccoli on a platter and drizzle sauce over.",Do you have to put boiling water in a steamer?,1
"Put all the ingredients in a blender and process at high speed, stopping occasionally to stir the ingredients together. Continue blending at high speed, adding more crushed ice to achieve the desired consistency. Serve garnished with the frozen orange half wheels.",Is the orange half wheel the same as the strawberry?,1
"Toast cassia, star anise, cloves, sand ginger (if using), Sichuan peppercorns, licorice root, black peppercorns, and white peppercorns (if using) in a small skillet over medium, tossing once, until fragrant, about 3 minutes. Let cool; grind to a powder in spice mill or coffee grinder.
Do Ahead: Five-Spice Powder can be made 1 month ahead. Store airtight at room temperature.",Do you need 5 spices to make powder?,1
"Place the onion, garlic, tomato, black peppercorns, green chilli, chilli powder and curry leaves in a food processor and blitz until you have a fine paste.
Place the paste in a medium bowl and add the coconut, Maldive fish (if using) and mix well by hand. Then add the lime juice and salt to taste, mixing well. A few crushed curry leaves can be used as a garnish. Pictured left.",Is the coconut oil the same as the curry leaves?,1
"Bring 3 quarts water to a boil in a medium pot. Remove from heat and add tea bags, honey, and 6 mint sprigs. Cover and let sit 8 minutes. Using a slotted spoon, remove tea bags and mint, gently pressing with a spoon to extract as much liquid as possible.
Meanwhile, slice 4 lemons in half and squeeze juice into a small bowl. Slice remaining 2 lemons into rounds; remove seeds. Add lemon juice, lemon slices, and remaining 6 mint sprigs to hot toddy. Ladle into mugs.",Do you boil the tea in a pot?,1
"In a large skillet over medium-high heat, heat the coconut oil. Add the broccoli, carrots, red pepper, and peas and sauté until tender, 6 to 8 minutes.
Whisk the coconut aminos, almond butter, and water in a small bowl.
Add the shirataki noodles and amino blend to the skillet and mix to incorporate. Top with the green onions and sesame seeds.",Is the broccoli in the coconut oil recipe?,1
"Bring cinnamon sticks, ginger, cloves, pomegranate juice, and sugar to a boil in a medium saucepan. Cook until reduced to 1½ cups, about 40 minutes. Strain syrup through a fine-mesh sieve into a heatproof measuring glass; discard solids. Let cool.
To serve, pour 1 oz. pomegranate syrup into a tall ice-filled glass. Top off with club soda and stir to combine; garnish with a lemon twist.
Do Ahead: Syrup can be made 10 days in ahead. Chill in an airtight container.",Can you make pomegranate syrup the day before?,1
"Purée apples, parsley, 5 celery stalks, and 3 cups water in batches in a blender. Strain through a fine-mesh sieve into a pitcher, gently pressing with a spoon to extract as much liquid as possible (alternatively, run apples, parsley, and celery through a juicer and mix with 3 cups water). Stir in vinegar, salt, and ¼ tsp. pepper and add more celery stalks.
To serve, pour 4 oz. juice into an ice-filled glass and sprinkle with pepper.",Do you need to add celery to apple juice?,1
"Toss daikon and ½ tsp. salt in a medium bowl; let sit 30 minutes. Transfer to a dish towel and squeeze out excess moisture.
Meanwhile, whisk chile, garlic, oil, vinegar, sugar, and remaining ¼ tsp. salt in a large bowl and let sit 30 minutes.
Add daikon to bowl and massage dressing into daikon. Let sit at least 30 minutes and up to 6 hours (cover and chill if holding longer than 1 hour).
To serve, stir in desired amount of chili crisp if using and top with sesame seeds.",Is chile vinegar the same as chili crisp?,1
"Set the racks in the upper and lower thirds of the oven and preheat it to 425°F.
Line two large rimmed baking sheets with parchment paper. Divide the broccoli between the sheets, arranging them in a single layer. Drizzle each sheet of broccoli with ¼ cup oil, then season each with ½ teaspoon salt and a few grinds of pepper. Roast, stirring once and rotating the sheets halfway through, until the broccoli is crispy and charred in spots, 35 to 40 minutes. Taste and adjust the seasoning, if desired.",Does the broccoli have to be brown in the middle?,1
"Pour the gin and oyster liquor into a cocktail shaker filled with ice. Shake well and let sit for 30 seconds, or longer for a weaker drink.
Run the lemon peel around the rim of a martini glass. Strain the gin into the glass, then twist the peel over the glass to release a drop of lemon oil.
Drop in the oyster and serve.",Does the lemon juice go in the gin?,1
"Rinse a chilled cocktail glass with absinthe and discard the excess liquid. Combine the remaining liquid ingredients in a mixing glass filled with ice and stir until chilled, about 30 seconds. Strain into the waiting cocktail glass. Garnish with the orange twist and cherry.",Is there any absinthe in the cherry sorbet?,1
"Toss salmon, peppercorns, lemon zest, and paprika in a medium bowl until combined. Gently fold in crème fraîche until combined (the mixture should be loose—don’t press it together and don’t chill it). Transfer to a serving bowl. Serve with potato chips alongside.",Is there a point in using salmon with lemon zest?,1
"Combine rye, Campari, vermouth, scotch, and 1/2 cup plus 1 Tbsp. water in a quart-size jar. Seal and freeze at least 2 hours and up to 2 weeks.
To serve, gently turn jar to mix. Place ice in a rocks glass and pour in cocktail. Squeeze oils from orange twist over, rub peel around rim of glass, then garnish glass with peel.",Is rye vodka and scotch the same thing?,1
"Mix honey and 2 Tbsp. boiling water in a quart-size jar. Stir to dissolve honey; let cool. Stir in mezcal, orange liqueur, bitters, and 1/2 cup plus 1 Tbsp. water. Seal and freeze at least 2 hours and up to 2 weeks.
To serve, turn jar gently to mix. Place ice in a rocks glass and pour in cocktail. Squeeze oils from orange twist over, rub peel around rim of glass, then garnish glass with peel.",Is there any orange twist in an orange liqueur?,1
"Preheat the oven to 400°F.
Arrange the vegetables and nuts on a large baking tray, drizzle with the olive oil, season with salt and pepper, and toss to coat. Bake in the oven for 45 minutes, tossing everything halfway through so the ingredients cook evenly, until the vegetables are tender and the nuts are toasted.
Combine the persillade ingredients in a bowl with some salt and pepper. Remove the roasted vegetables and nuts from the oven, transfer to serving bowls, and dollop the persillade over the top.",Are the pecans and nuts the same?,1
"Place the oil in a medium saucepan over medium heat. Add the onion and thyme and cook for 1–2 minutes or until just golden. Add the cherries, orange rind, liqueur, vinegar, sugar, salt and pepper and stir to combine. Bring to the boil and cook for 30–35 minutes or until reduced and glossy. Allow to cool completely at room temperature.",Does the thyme syrup add to the cherry liqueur?,1
"In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",Do you put rye whiskey in a glass of wine?,1
"Blend herbs, oil, lime juice, garlic, salt, and 2 Tbsp. almonds in a blender or food processor until a smooth pesto-like sauce forms. Taste and add more lime juice, garlic, and/or salt if desired—you want the sauce to be well seasoned.
Toss rice with 3/4 cup sauce in a medium bowl. Add avocado and scallion and gently toss again.
Divide rice mixture among shallow bowls. Top each with egg and tomato, dividing evenly. Drizzle some remaining sauce over. Top with remaining 2 Tbsp. almonds.",Does the rice have to be cooked in a skillet?,1
"If using fresh za’atar or oregano, arrange it on a towel-lined plate and microwave in 15-second intervals, stirring between intervals, until dry and crumbly, 2 to 2 1/2 minutes.
Crumble the leaves by hand or in a spice grinder until almost fine (the way dried herbs look), then combine in a medium bowl with the marjoram, sesame seeds, thyme, sumac, and salt. Store in an airtight container for up to 3 months.",Do you want to use fresh za'atar in a dish?,1
"Mix butter, miso, chile, and ginger in a small bowl until smooth.
Heat a large skillet, preferably cast iron, over medium-high. Toss beans with oil in a medium bowl, then transfer to skillet and cook, tossing occasionally, until charred in spots and crisp-tender, about 4 minutes.
Spread miso butter on a platter. Arrange beans over; their residual heat will melt the butter into a saucy dressing. Sprinkle with sesame seeds and squeeze some lime wedges over.",Is the miso butter in the kimchi sauce?,1
"Cook oil, shallot, garlic, and red pepper flakes in a small saucepan over medium heat, stirring occasionally, until shallots and garlic begin to turn golden, 7–9 minutes. Remove from heat and mix in anchovies, if using (they’ll dissolve in the oil quickly), and basil.
Toss tomatoes with vinegar and a pinch of kosher salt in a medium bowl. Transfer to a platter and pour warm dressing over. Finely grate lemon zest on top and sprinkle with sea salt.",Do the tomatoes in a bowl still cook?,1
"Combine vegetables and onion in a medium bowl; season generously with salt. Let sit until they start to release their water, 8–10 minutes, then begin to massage, gently at first so they don’t break, then harder as they begin to expel their liquid, until softened to about the texture of coleslaw. Pour off all excess liquid and add vinegar and oil; toss to coat. Taste and season with more salt if needed.
Do Ahead: Slaw can be made 3 days ahead. Cover and chill.",Can you make coleslaw ahead of time?,1
"Preheat broiler.
Cook shallot and garlic in 3 Tbsp. oil in a 12-inch skillet over medium heat, stirring, until softened, about 2 minutes. Add tomatoes, red peppers, and 1 tsp. each kosher salt and pepper and cook, stirring, until tomatoes are softened and juicy, about 5 minutes.
Transfer mixture to a 1 1/2–2 qt shallow baking dish and arrange cheese over top and drizzle with remaining 1 Tbsp. olive oil. Broil until cheese is softened and lightly charred, 3–5 minutes.",Do you brown the tomatoes in the oven?,1
"Stir herbs into butter and let stand at room temperature while preparing corn.
Prepare grill for direct-heat cooking over medium-hot charcoal (medium high for gas).
Pull husks back from corn, covered only if using a gas grill, turning frequently, until tender, 15 to 18 minutes.
Serve with basil butter and salt.",Is there a difference between gas and charcoal?,1
"Whisk together vinegar, mustard, thyme, garlic, and 1/2 tsp each of kosher salt and pepper, then whisk in oil in a slow stream until well-blended.
Cook beans in a large pot of well-salted boiling water until tender, 7 to 10 minutes. Drain, then toss with dressing and season with salt and pepper. Serve warm or at room temperature.",Do black beans need to be cooked to make them tender?,1
"In a saucepan set over medium-high heat, warm a couple of popcorn kernels with the coconut oil. Put a lid on the saucepan and wait for the initial kernels to pop. This lets you know the heat is just right. When the pan is hot enough, add the remaining kernels and replace the lid on the pan.
Carefully shake the saucepan as the kernels pop. When they are all popped, transfer the popcorn to a bowl and toss it with the salt. Add any of the extra flavor options that you and your friends might like!",Do you have to stir the popcorn in a bowl?,1
"Heat coconut oil, peppercorns, coriander seeds, cumin seeds, and turmeric in a small saucepan over medium until fragrant, about 3 minutes. Let turmeric oil cool slightly.
Arrange watermelon, tomato, and feta on a platter. Drizzle turmeric oil evenly over and sprinkle with salt.",Is watermelon and feta the same thing?,1
"Scoop out seeds from melon half and place, cut side down, on a cutting board and remove rind by slicing down along the curve of the melon with a sharp knife, rotating as you go. Cut in half again, then very thinly slice each piece crosswise on a mandoline (to make half-moons) or use a vegetable peeler to make ribbons.
Toss melon, peas, ricotta, and tarragon on a platter. Drizzle with some oil, squeeze some lemon juice over, and sprinkle with salt and Aleppo-style pepper.",Do you use a knife to remove rind of melon?,1
"Combine tomatoes, tuna, olives, parsley, pepper, 3 Tbsp. oil, and 1 tsp. salt in a large bowl.
Cook spaghetti in a large pot of boiling salted water, stirring occasionally, until al dente. Drain and add to tomato mixture. Stir vigorously and add more oil as needed to fully coat. Season with salt.
Transfer pasta to a serving bowl or platter. Drizzle with lemon juice and serve.",Does the tuna in tundra cook to perfection?,1
"Melt butter in a small saucepan over medium heat. Add anchovies and cook, breaking them up with a wooden spoon, until dissolved, about 5 minutes.
Combine zucchini ribbons, Parmesan, red pepper flakes, and anchovy butter in a large serving bowl. Serve immediately.",Is it possible to eat anchovies in a bowl?,1
"Whisk ginger, miso paste, 3 Tbsp. mirin, 3 Tbsp. vinegar, 1 Tbsp. soy sauce, and 1/4 tsp. salt in a large bowl.
Cook soba noodles according to package directions. Drain noodles, rinse with cold water, then add to ginger mixture. Season with more mirin, vinegar, soy sauce, and salt, if needed.
Transfer noodles to a serving bowl or platter and top with radishes, scallions, and tofu. Serve immediately.",Is scallions the same as soy sauce?,1
"In a bowl, soak the wakame in warm water for 5 to 10 minutes. Drain in a colander. Combine the seaweed and cucumber in a bowl. In another bowl, whisk together the vinegar, coconut aminos, olive oil, lemon juice, ginger, and salt. Toss the vegetables with 2 tablespoons dressing. Taste and add more dressing if desired.",Does the dressing on wakame have to be thawed?,1
